Typ,Liga,Spiel,Tipp,Anstoß,Modell-%,BestOdds,Edge-%,Kelly-%,λ-Heim,λ-Gast
Fußball,1. Bundesliga,Werder Bremen – 1. FC Heidenheim,1. FC Heidenheim,2026-02-28T14:30:00Z,23.5,6.25,46.7,5.0,1.79,1.11
Fußball,1. Bundesliga,Bayer Leverkusen – FSV Mainz 05,Bayer Leverkusen,2026-02-28T14:30:00Z,58.0,2.08,20.6,5.0,1.95,1.06
Fußball,1. Bundesliga,TSG Hoffenheim – FC St. Pauli,FC St. Pauli,2026-02-28T14:30:00Z,20.8,6.54,36.1,5.0,1.57,0.87
Fußball,1. Bundesliga,Borussia Dortmund – Bayern Munich,Bayern Munich,2026-02-28T17:30:00Z,60.5,1.73,4.6,5.0,1.41,2.46
Fußball,1. Bundesliga,VfB Stuttgart – VfL Wolfsburg,VfL Wolfsburg,2026-03-01T14:30:00Z,21.6,6.80,46.8,5.0,2.37,1.39
Fußball,1. Bundesliga,Eintracht Frankfurt – SC Freiburg,Eintracht Frankfurt,2026-03-01T16:30:00Z,55.9,2.22,24.1,5.0,2.25,1.43
Fußball,1. Bundesliga,Hamburger SV – Bayer Leverkusen,Bayer Leverkusen,2026-03-04T19:30:00Z,54.6,2.12,15.8,5.0,1.02,1.75
Fußball,1. Bundesliga,1. FC Heidenheim – TSG Hoffenheim,1. FC Heidenheim,2026-03-07T14:30:00Z,24.6,5.07,24.6,5.0,1.24,1.92
Fußball,1. Bundesliga,RB Leipzig – Augsburg,Unentschieden,2026-03-07T14:30:00Z,22.6,4.90,10.9,2.8,1.83,0.90
Fußball,1. Bundesliga,RB Leipzig – Augsburg,Augsburg,2026-03-07T14:30:00Z,18.1,6.25,13.2,2.5,1.83,0.90
Fußball,1. Bundesliga,SC Freiburg – Bayer Leverkusen,Bayer Leverkusen,2026-03-07T14:30:00Z,52.7,2.34,23.3,5.0,1.26,1.92
Fußball,1. Bundesliga,FSV Mainz 05 – VfB Stuttgart,FSV Mainz 05,2026-03-07T14:30:00Z,34.3,3.08,5.7,2.7,1.43,1.59
Fußball,1. Bundesliga,VfL Wolfsburg – Hamburger SV,VfL Wolfsburg,2026-03-07T14:30:00Z,44.0,2.43,6.8,4.8,1.55,1.27
Fußball,1. Bundesliga,1. FC Köln – Borussia Dortmund,1. FC Köln,2026-03-07T17:30:00Z,24.1,4.90,18.0,4.6,1.31,2.06
Fußball,1. Bundesliga,FC St. Pauli – Eintracht Frankfurt,Eintracht Frankfurt,2026-03-08T14:30:00Z,53.4,2.90,54.7,5.0,0.99,1.68
Fußball,1. Bundesliga,Union Berlin – Werder Bremen,Werder Bremen,2026-03-08T16:30:00Z,34.3,3.60,23.5,5.0,1.35,1.24
Fußball,2. Bundesliga,Greuther Fürth – FC Schalke 04,Greuther Fürth,2026-02-28T19:30:00Z,31.0,5.30,64.2,5.0,1.46,1.82
Fußball,2. Bundesliga,1. FC Magdeburg – Karlsruher SC,Karlsruher SC,2026-03-01T12:30:00Z,30.5,4.40,34.1,5.0,2.22,1.73
Fußball,2. Bundesliga,Hertha Berlin – 1. FC Nürnberg,1. FC Nürnberg,2026-03-01T12:30:00Z,32.3,3.60,16.1,5.0,1.61,1.35
Fußball,2. Bundesliga,Eintracht Braunschweig – SC Preußen Münster,SC Preußen Münster,2026-03-01T12:30:00Z,41.6,3.24,34.8,5.0,1.09,1.31
Fußball,2. Bundesliga,Elversberg – 1. FC Magdeburg,Elversberg,2026-03-06T17:30:00Z,62.0,1.96,21.5,5.0,2.27,1.17
Fußball,2. Bundesliga,FC Schalke 04 – Arminia Bielefeld,Unentschieden,2026-03-06T17:30:00Z,24.8,4.20,4.2,1.3,1.53,1.35
